,gender,age,married,number_of_dependents,city,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
23,Female,22,No,0,Keeler,0,3,no_offer,Yes,3.12,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.85,0.0,0,9.36,66.56,Joined
24,Female,34,Yes,0,Korbel,0,4,Offer E,Yes,12.43,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,20.35,0.0,0,49.72,126.07,Churned
25,Female,37,Yes,1,Palomar Mountain,1,1,no_offer,No,0.0,,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,0.0,0,0.0,30.5,Churned
26,Female,37,Yes,3,Parlier,10,55,no_offer,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,0.0,20,1927.2,7603.95,Stayed
27,Male,42,Yes,3,Modesto,3,54,no_offer,Yes,19.7,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,20.4,0.0,0,1063.8,2154.4,Stayed
28,Male,64,No,0,Glen Ellen,0,26,Offer C,Yes,37.7,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Bank Withdrawal,19.6,21.25,0,980.2,1430.8,Stayed
29,Female,47,Yes,3,Eureka,5,69,no_offer,Yes,38.39,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,19.7,0.0,0,2648.91,4045.81,Stayed
30,Male,23,Yes,3,Moss Beach,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,0.0,0,1591.37,4838.92,Stayed
31,Female,48,Yes,0,Los Angeles,5,49,Offer B,Yes,49.58,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,20.45,0.0,0,2429.42,3330.32,Stayed
32,Male,28,Yes,0,Los Angeles,9,66,no_offer,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,0.0,0,2888.82,10830.97,Stayed
33,Female,28,No,0,Calexico,0,67,no_offer,Yes,23.12,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,20.55,30.53,0,1549.04,2861.91,Stayed
34,Male,33,Yes,1,Redding,4,20,no_offer,No,0.0,,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,0.0,0,0.0,825.4,Stayed
35,Female,31,No,3,San Martin,0,43,no_offer,Yes,30.64,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,25.1,0.0,0,1317.52,2387.67,Stayed
36,Female,37,Yes,0,Stockton,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,0.0,0,279.4,5239.0,Stayed
37,Female,60,Yes,0,Los Angeles,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,0.0,0,967.01,6564.66,Stayed
38,Female,48,Yes,3,Huntington Park,3,12,no_offer,Yes,19.28,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,20.3,0.0,0,231.36,455.86,Stayed
39,Male,60,Yes,3,Yermo,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,0.0,0,682.02,2611.02,Stayed
40,Male,69,No,0,San Diego,0,2,no_offer,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,0.0,0,87.98,179.08,Churned
41,Female,20,No,0,Fremont,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,0.0,0,1320.57,3399.52,Stayed
42,Male,31,Yes,3,Santa Rosa,1,25,no_offer,Yes,23.69,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,25.5,44.42,0,592.25,1178.43,Stayed
43,Male,46,Yes,0,San Jose,5,25,no_offer,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,44.9,0,161.25,1727.35,Stayed
44,Male,57,No,1,Tujunga,0,29,no_offer,No,0.0,,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,12.26,0,0.0,1230.19,Stayed
45,Male,19,Yes,0,Visalia,5,72,no_offer,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,0.0,0,2329.92,8646.12,Stayed
46,Female,64,No,0,Lodi,0,14,no_offer,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,0.0,0,336.56,1064.41,Stayed
47,Female,38,No,0,El Portal,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,0.0,0,1274.7,4806.7,Stayed
48,Male,54,No,0,Calistoga,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,0.0,0,42.95,87.25,Joined
49,Male,50,No,0,Farmington,0,29,no_offer,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,0.0,20,59.45,2687.05,Stayed
50,Male,25,No,0,Tulelake,0,64,no_offer,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,0.0,40,351.36,5958.91,Stayed
51,Female,35,Yes,3,Coleville,1,39,no_offer,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,0.0,0,950.82,4718.22,Stayed
52,Female,72,No,0,Ojai,0,40,no_offer,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,0.0,0,1765.6,5439.2,Stayed
53,Male,51,No,0,Desert Hot Springs,0,40,no_offer,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,0.0,0,1507.6,5544.45,Churned
54,Female,78,No,1,North Hollywood,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,0.0,120,127.49,1367.79,Churned
55,Female,30,Yes,0,Inverness,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,0.0,0,255.96,570.51,Stayed
56,Male,58,No,0,Santa Rosa,0,30,no_offer,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,0.0,0,79.2,1967.65,Stayed
57,Male,26,No,0,San Jose,0,27,no_offer,Yes,20.66,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.4,0.0,0,557.82,1087.62,Stayed
58,Male,66,Yes,0,Wilmington,3,70,no_offer,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,6.11,0,2764.3,10067.14,Stayed
59,Female,20,Yes,0,Modesto,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,0.0,0,456.57,6709.27,Stayed
60,Male,61,Yes,0,San Diego,10,58,no_offer,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,10.23,0,1065.46,3933.78,Stayed
61,Male,24,No,0,Rancho Palos Verdes,0,16,no_offer,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,0.0,0,411.36,1623.46,Stayed
62,Female,55,Yes,0,Kenwood,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,0.0,0,2657.88,10840.73,Stayed
63,Male,32,No,0,West Point,0,1,Offer E,Yes,31.77,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.85,0.0,0,31.77,51.62,Churned
64,Male,59,No,0,Los Angeles,0,1,no_offer,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,0.0,0,40.71,140.46,Churned
65,Male,71,Yes,1,Morongo Valley,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,0.0,0,1019.52,3880.97,Stayed
66,Male,49,Yes,2,Palo Verde,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,0.0,0,779.36,2221.56,Stayed
67,Male,61,Yes,0,Valyermo,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,0.0,0,1937.95,5997.3,Churned
68,Female,40,Yes,0,Cambria,2,71,Offer A,No,0.0,,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,0.0,0,0.0,4145.9,Stayed
69,Female,39,No,0,Round Mountain,0,33,no_offer,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,0.0,0,1639.77,5285.27,Stayed
70,Female,21,Yes,0,Klamath,9,10,Offer D,Yes,49.6,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.95,0.0,0,496.0,683.75,Stayed
71,Male,24,Yes,0,Fresno,1,21,no_offer,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,0.0,120,761.46,3198.56,Churned
72,Male,52,Yes,1,Angwin,1,37,no_offer,No,0.0,,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,0.0,0,0.0,1448.8,Churned
73,Female,71,No,0,Le Grand,0,26,no_offer,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,0.0,0,877.24,3070.89,Stayed
74,Male,45,No,0,Redway,0,50,Offer B,No,0.0,,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,0.0,0,0.0,1748.9,Stayed
75,Female,29,No,0,San Diego,0,7,no_offer,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,13.03,0,200.34,698.56,Churned
76,Female,62,Yes,0,Monterey Park,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,0.0,0,2878.59,8405.34,Stayed
77,Male,42,No,0,Big Oak Flat,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,0.0,0,688.8,2242.75,Churned
78,Female,51,No,2,Stevenson Ranch,0,26,no_offer,No,0.0,,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,0.0,0,0.0,1147.0,Stayed
79,Male,39,Yes,0,North Highlands,9,72,no_offer,Yes,33.22,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,0.0,0,2391.84,9139.19,Stayed
80,Male,64,Yes,0,La Puente,1,44,no_offer,Yes,27.4,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Bank Withdrawal,20.5,0.0,0,1205.6,2070.65,Stayed
81,Male,55,No,0,Glenhaven,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,36.02,40,3219.48,9200.36,Stayed
82,Female,40,No,0,Alhambra,0,2,no_offer,Yes,36.81,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,0.0,0,73.62,255.27,Churned
83,Female,76,No,0,Santa Monica,0,44,no_offer,Yes,7.72,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,17.91,0,339.68,3589.82,Stayed
84,Female,57,No,0,Lodi,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,0.0,0,172.56,1224.96,Churned
85,Male,71,Yes,0,Los Angeles,1,69,no_offer,Yes,18.41,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,0.0,0,1270.29,8904.54,Stayed
86,Female,25,No,0,Fairfield,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,0.0,0,1.23,81.43,Churned
87,Female,24,No,0,Stockton,0,3,Offer E,Yes,25.75,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.85,0.0,0,77.25,141.0,Churned
88,Female,19,Yes,0,Temecula,10,2,no_offer,Yes,4.65,No,Yes,Fiber Optic,53.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,0.0,0,9.3,199.8,Joined
89,Female,77,No,0,Fallbrook,0,27,no_offer,Yes,2.97,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,0.0,0,80.19,2481.24,Stayed
90,Male,57,No,0,Randsburg,0,26,Offer C,Yes,13.34,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,20.3,0.0,0,346.84,858.09,Stayed
91,Female,73,Yes,0,Atascadero,9,39,no_offer,Yes,20.15,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,0.0,0,785.85,4735.0,Stayed
92,Male,41,No,0,Planada,0,25,no_offer,Yes,34.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,0.0,0,872.0,3234.1,Churned
93,Female,43,No,0,Moorpark,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,0.0,0,39.81,110.71,Churned
94,Male,48,Yes,0,Solvang,1,22,Offer D,Yes,27.24,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,0.0,0,599.28,1751.98,Churned
95,Female,56,No,0,Calistoga,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,0.0,0,3482.64,11979.34,Stayed
96,Female,51,No,0,La Mirada,0,24,no_offer,Yes,10.64,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,19.55,0.0,0,255.36,725.56,Stayed
97,Female,34,Yes,0,Boron,8,19,no_offer,Yes,7.84,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,0.0,0,148.96,1713.36,Stayed
98,Male,21,Yes,2,San Marcos,2,71,no_offer,Yes,9.2,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,25.35,0.0,0,653.2,2500.75,Stayed
99,Male,78,Yes,0,Desert Center,7,33,no_offer,Yes,25.15,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,0.0,0,829.95,4524.65,Stayed
100,Female,60,No,0,Crows Landing,0,3,no_offer,Yes,2.69,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.95,0.0,0,8.07,66.07,Joined
101,Male,54,Yes,1,Tuolumne,7,47,no_offer,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,0.0,0,51.23,4068.68,Stayed
102,Male,42,Yes,3,San Diego,2,62,no_offer,Yes,1.76,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,0.0,0,109.12,6934.77,Stayed
103,Male,22,No,0,Auburn,0,71,no_offer,Yes,2.88,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,0.0,0,204.48,8514.03,Stayed
104,Male,71,Yes,0,Fresno,8,7,no_offer,Yes,41.97,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,0.0,0,293.79,899.24,Stayed
105,Female,56,Yes,2,Del Rey,6,27,Offer C,Yes,46.66,No,Yes,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,0.0,0,1259.82,3232.17,Stayed
106,Male,33,No,0,Redwood City,0,2,no_offer,Yes,1.81,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,20.05,0.0,0,3.62,37.32,Joined
107,Female,32,No,3,Landers,0,25,Offer C,No,0.0,,Yes,Cable,75.0,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,0.0,0,0.0,844.45,Stayed
108,Male,80,No,0,Hawthorne,0,30,no_offer,Yes,38.61,No,Yes,DSL,5.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,0.0,0,1158.3,3269.6,Stayed
